CustomerID,GastoTotal,GastoMensal,GastoMedio,TaxaDevolucao,MediaDiasCompra,TempoUltimoDiaCompra,PossivelChurn,Churn
12346,0.0,0.0,0.0,1.0,0,325,1,1
12347,4310.0,359.17,615.71,0.0,53,2,0,0
12348,1437.24,119.77,359.31,0.0,71,75,1,0
12349,1457.55,121.46,1457.55,0.0,0,18,1,0
12350,294.4,24.53,294.4,0.0,0,310,1,1
12352,1265.41,105.45,158.18,0.14,33,36,0,0
12353,89.0,7.42,89.0,0.0,0,204,1,1
12354,1079.4,89.95,1079.4,0.0,0,232,1,1
12355,459.4,38.28,459.4,0.0,0,214,1,1
12356,2487.43,207.29,829.14,0.0,101,22,0,0
12357,6207.67,517.31,6207.67,0.0,0,33,1,0
12358,928.06,77.34,464.03,0.0,75,1,0,0
12359,6182.98,515.25,1030.5,0.5,54,7,0,1
12360,2302.06,191.84,767.35,0.0,50,52,0,0
12361,174.9,14.58,174.9,0.0,0,287,1,1
12362,4665.58,388.8,358.89,0.3,23,3,0,0
12363,552.0,46.0,276.0,0.0,67,109,1,1
12364,1208.1,100.68,302.02,0.0,27,7,0,0
12365,320.69,26.72,320.69,0.0,0,291,1,1
12367,150.9,12.58,150.9,0.0,0,4,1,0
12370,3421.94,285.16,855.48,0.0,78,51,0,0
12371,1527.96,127.33,1527.96,0.0,0,59,1,0
12372,1196.04,99.67,398.68,0.0,75,71,1,0
12373,324.6,27.05,324.6,0.0,0,311,1,1
12374,622.93,51.91,622.93,0.0,0,25,1,0
12375,375.42,31.28,125.14,0.5,32,2,0,1
12377,1548.12,129.01,774.06,0.0,20,315,1,1
12378,4008.62,334.05,4008.62,0.0,0,129,1,1
12379,775.29,64.61,258.43,0.5,30,81,1,1
12380,2423.56,201.96,484.71,0.25,33,21,0,0
12381,1433.46,119.46,358.36,0.33,29,4,0,0
12383,1617.31,134.78,269.55,0.2,28,184,1,1
12384,406.16,33.85,135.39,0.5,31,28,0,1
12386,401.9,33.49,200.95,0.0,15,337,1,1
12388,2780.66,231.72,463.44,0.0,52,15,0,0
12390,504.84,42.07,504.84,0.0,0,79,1,0
12391,439.66,36.64,439.66,0.0,0,21,1,0
12393,1582.6,131.88,395.65,0.0,65,72,1,0
